objectid,settlementId,settlementNameHeb,settlementNameEng,streetCode,streetNameHeb,streetNameEng,houseNum,floorNo,assetArea,dealAmount,dealId,propertyTypeDescription,dealNatureDescription,assetRoomNum,neighborhood,dealDate,gushNum,parcelNum,subParcelNum,polygonId,sourceorder,E,N,X,Y
2033120,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,שניה,41,1385000,6107088250,דירה,דירה בבית קומות,2.0,אזור תעשיה,2022-05-04T00:00:00.000Z,7120,55,12,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2031015,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שניה,77,1830000,6105726550,דירה,דירה בבית קומות,3.0,אזור תעשיה,2022-04-06T00:00:00.000Z,7120,131,24,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2031018,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שלישית,77,1830002,11346383648,דירה,דירה בבית קומות,3.0,אזור תעשיה,2022-04-05T00:00:00.000Z,7120,131,26,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2031026,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,רביעית,100,2200004,11346383649,דירה,דירה בבית קומות,3.0,אזור תעשיה,2022-04-05T00:00:00.000Z,7120,131,30,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033145,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,4.0,ראשונה,77,1375000,6102428600,דירה,דירה בבית קומות,2.0,אזור תעשיה,2022-02-08T00:00:00.000Z,7120,56,1,53301486,2.0,34.745621,32.010642,176105.27,657590.48
2031014,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שניה,77,1740000,11346383647,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-12-28T00:00:00.000Z,7120,131,24,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033278,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,שניה,72,1480000,6069166750,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-11-09T00:00:00.000Z,7120,68,3,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033256,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,רביעית,91,1730000,11346383974,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-09-13T00:00:00.000Z,7120,67,13,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033258,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,רביעית,72,1590000,6064546800,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-08-26T00:00:00.000Z,7120,67,14,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033273,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,רביעית,100,1950000,11346383978,דירה,דירה בבית קומות,4.0,אזור תעשיה,2021-08-21T00:00:00.000Z,7120,68,13,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033127,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,ראשונה,50,1200000,6062174850,דירה,דירה בבית קומות,2.0,אזור תעשיה,2021-07-08T00:00:00.000Z,7120,55,2,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2033269,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,רביעית,93,1950000,11346383977,דירה,דירה בבית קומות,4.0,אזור תעשיה,2021-06-23T00:00:00.000Z,7120,68,11,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033268,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,שלישית,73,2125000,11346383976,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-06-01T00:00:00.000Z,7120,68,10,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033342,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,16.0,רביעית,97,2100000,6057184450,דירה,דירה בבית קומות,4.0,אזור תעשיה,2021-05-02T00:00:00.000Z,7120,76,28,52470326,2.0,34.744266,32.008972,175976.45,657405.83
2033163,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,4.0,רביעית,59,1060000,6056919500,דירה,דירה בבית קומות,2.0,אזור תעשיה,2021-04-26T00:00:00.000Z,7120,56,28,53301486,2.0,34.745621,32.010642,176105.27,657590.48
2033281,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,שלישית,72,2000000,11346383981,דירה,דירה,3.0,אזור תעשיה,2021-04-21T00:00:00.000Z,7120,68,9,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033264,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,שניה,91,1799000,6056741450,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-04-06T00:00:00.000Z,7120,67,6,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033280,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,שלישית,91,1799000,11346383980,דירה,דירה,4.0,אזור תעשיה,2021-04-05T00:00:00.000Z,7120,68,8,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033147,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,4.0,שניה,84,1100000,6055620550,דירה,דירה בבית קומות,2.0,אזור תעשיה,2021-03-08T00:00:00.000Z,7120,56,13,53301486,2.0,34.745621,32.010642,176105.27,657590.48
2033358,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,18.0,"שלישית ,רביעית וחמישית",135,2530000,6052894850,דירה,דירה בבית קומות,5.0,אזור תעשיה,2021-02-01T00:00:00.000Z,7120,77,10,52207414,2.0,34.744082,32.008775,175958.98,657384.06
2033364,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,18.0,ראשונה,64,670000,6054836950,דירה,דירה בבית קומות,3.0,אזור תעשיה,2021-01-04T00:00:00.000Z,7120,77,3,52207414,2.0,34.744082,32.008775,175958.98,657384.06
2033248,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,שמינית,90,2600000,6013522100,דירה,דירה בבית קומות,4.0,אזור תעשיה,2020-12-30T00:00:00.000Z,7120,66,52,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033142,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,ראשונה,42,600000,6005480800,דירה,דירה בבית קומות,2.5,אזור תעשיה,2020-04-27T00:00:00.000Z,7120,55,4,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2033279,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,10.0,שלישית,98,1760000,11346383979,דירה,דירה,4.0,אזור תעשיה,2020-03-28T00:00:00.000Z,7120,68,7,52571789,2.0,34.744967,32.009821,176043.09,657499.7
2033141,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,2.0,רביעית,47,1200000,6003404650,דירה,דירה בבית קומות,2.0,אזור תעשיה,2020-03-08T00:00:00.000Z,7120,55,31,52278502,2.0,34.745883,32.01089,176130.14,657617.87
2031021,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שלישית,72,1340000,6002295050,דירה,דירה בבית קומות,3.0,אזור תעשיה,2020-02-17T00:00:00.000Z,7120,131,28,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033265,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,שלישית,52,1330000,5963451650,דירה,דירה בבית קומות,3.0,אזור תעשיה,2019-10-31T00:00:00.000Z,7120,67,8,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2031029,6200,בת ים,BAT YAM,62000606.0,האורגים,Ha'Orgim,24.0,שניה,58,580000,5957538050,דירה,דירה בבית קומות,3.0,אזור תעשיה,2019-06-03T00:00:00.000Z,7120,131,6,53329731,2.0,34.743421,32.008119,175896.21,657311.58
2033249,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,6.0,שביעית,120,2300000,5954319750,דירה,דירה בבית קומות,5.0,אזור תעשיה,2019-04-17T00:00:00.000Z,7120,66,53,52502766,2.0,34.745367,32.010478,176081.19,657572.39
2033267,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,8.0,שלישית,93,2600000,11346383975,דירה,דירה,3.0,אזור תעשיה,2018-11-27T00:00:00.000Z,7120,67,9,53099378,2.0,34.745128,32.010043,176058.41,657524.25
2033341,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,16.0,שביעית,89,2179000,5912545050,דירה,דירה בבית קומות,4.0,אזור תעשיה,2018-10-24T00:00:00.000Z,7120,76,27,52470326,2.0,34.744266,32.008972,175976.45,657405.83
2033359,6200,בת ים,Bat Yam,62000606.0,האורגים,Ha'Orgim,18.0,"שלישית ,רביעית וחמישית",135,2450000,5911207650,דירה,דירה בבית קומות,5.0,אזור תעשיה,2018-09-06T00:00:00.000Z,7120,77,10,52207414,2.0,34.744082,32.008775,175958.98,657384.06
