objectid,settlementId,settlementNameHeb,settlementNameEng,streetCode,streetNameHeb,streetNameEng,houseNum,floorNo,assetArea,dealAmount,dealId,propertyTypeDescription,dealNatureDescription,assetRoomNum,neighborhood,dealDate,gushNum,parcelNum,subParcelNum,polygonId,sourceorder,E,N,X,Y,socio_index_avg,socio_rank_avg,socio_cluster_mode,cnt_community_place_of_worship_r500m,cnt_education_childcare_r500m,cnt_education_college_r1500m,cnt_education_cooking_school_r1000m,cnt_education_driving_school_r1000m,cnt_education_education_r1000m,cnt_education_flight_school_r2000m,cnt_education_kindergarten_r500m,cnt_education_language_school_r1000m,cnt_education_music_school_r800m,cnt_education_nursing_home_r1000m,cnt_education_prep_school_r800m,cnt_education_preschool_r500m,cnt_education_school_r800m,cnt_education_trade_school_r1500m,cnt_education_university_r2000m,cnt_employment_association_r1500m,cnt_employment_company_r1500m,cnt_employment_conference_centre_r2000m,cnt_employment_coworking_space_r1500m,cnt_employment_exhibition_centre_r2000m,cnt_employment_factory_r1000m,cnt_employment_landuse_commercial_r1500m,cnt_employment_landuse_industrial_r1000m,cnt_employment_landuse_retail_r1000m,cnt_employment_marketplace_r1000m,cnt_employment_office_r1500m,cnt_employment_social_centre_r1000m,cnt_food_bar_r500m,cnt_food_cafe_r500m,cnt_food_fast_food_r500m,cnt_food_ice_cream_r500m,cnt_food_pub_r500m,cnt_food_restaurant_r500m,cnt_health_clinic_r1000m,cnt_health_dentist_r800m,cnt_health_doctors_r800m,cnt_health_first_aid_r1000m,cnt_health_hospital_r2500m,cnt_health_pharmacy_r500m,cnt_health_social_facility_r1000m,cnt_health_veterinary_r1000m,cnt_historic_archaeological_site_r2000m,cnt_historic_castle_r2000m,cnt_historic_memorial_r1000m,cnt_historic_monument_r1000m,cnt_historic_ruins_r2000m,cnt_leisure_arts_centre_r1500m,cnt_leisure_casino_r1500m,cnt_leisure_cinema_r1500m,cnt_leisure_community_centre_r1000m,cnt_leisure_events_venue_r1500m,cnt_leisure_food_court_r800m,cnt_leisure_music_venue_r1000m,cnt_leisure_nightclub_r800m,cnt_leisure_theatre_r1500m,cnt_nature_beach_r2500m,cnt_nature_hot_spring_r1500m,cnt_nature_peak_r2000m,cnt_nature_spring_r1500m,cnt_nature_wood_r1000m,cnt_park_amusement_arcade_r1000m,cnt_park_beach_resort_r2000m,cnt_park_bird_hide_r2000m,cnt_park_common_r700m,cnt_park_dog_park_r700m,cnt_park_fitness_centre_r800m,cnt_park_garden_r600m,cnt_park_ice_rink_r1500m,cnt_park_marina_r2000m,cnt_park_nature_reserve_r3000m,cnt_park_outdoor_seating_r500m,cnt_park_park_r700m,cnt_park_picnic_table_r500m,cnt_park_playground_r500m,cnt_park_sports_centre_r1000m,cnt_park_sports_hall_r1000m,cnt_park_stadium_r2000m,cnt_park_swimming_pool_r1000m,cnt_park_trampoline_park_r1500m,cnt_park_water_park_r2500m,cnt_retail_department_store_r1500m,cnt_retail_mall_r2000m,cnt_retail_supermarket_r600m,cnt_retail_wholesale_r2000m,cnt_service_atm_r400m,cnt_service_bank_r600m,cnt_service_fire_station_r1500m,cnt_service_library_r800m,cnt_service_police_r1000m,cnt_service_post_office_r800m,cnt_service_townhall_r1500m,cnt_tourism_aquarium_r2000m,cnt_tourism_attraction_r1500m,cnt_tourism_gallery_r1500m,cnt_tourism_hotel_r1000m,cnt_tourism_museum_r1500m,cnt_tourism_theme_park_r3000m,cnt_tourism_viewpoint_r1500m,cnt_tourism_zoo_r2500m,cnt_transport_bus_station_r600m,cnt_transport_bus_stop_r400m,cnt_transport_ferry_r1500m,cnt_transport_public_platform_r400m,cnt_transport_public_station_r600m,cnt_transport_public_stop_position_r400m,cnt_transport_railway_station_r1500m,cnt_transport_railway_stop_r800m,cnt_transport_railway_subway_entrance_r800m,cnt_transport_railway_train_station_entrance_r1500m,cnt_transport_railway_tram_stop_r600m,total_1km_group_community,total_1km_group_education,total_1km_group_employment,total_1km_group_food,total_1km_group_health,total_1km_group_historic,total_1km_group_leisure,total_1km_group_nature,total_1km_group_park,total_1km_group_retail,total_1km_group_service,total_1km_group_tourism,total_1km_group_transport,location_score
2100082,6600,חולון,Holon,66000706.0,שנקר,Shenkar,77.0,שניה,49,1062000,3226477302,דירה,דירה בבית קומות,2.5,קרית עבודה,2011-11-17T00:00:00.000Z,7173,136,4,53110365,2.0,34.77605,32.018661,178983.87,658467.9,0.421,921.9,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,2,0,0,0,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,6,0,1,0,3,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,3,1,2,8,9,4,1,1,3,5,10,2,14,44.2
2093089,6600,חולון,Holon,66000706.0,שנקר,Shenkar,35.0,שניה,71,1020000,3226188752,דירה,דירה בבית קומות,3.0,אגרובנק,2011-11-03T00:00:00.000Z,7168,10,13,52207584,2.0,34.776784,32.024131,179055.61,659074.2,0.421,921.9,7.0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,1,0,0,1,2,0,0,0,3,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,2,3,2,11,7,8,1,1,8,4,10,1,8,49.1
2092605,6600,חולון,Holon,66000706.0,שנקר,Shenkar,23.0,רביעית,45,690000,3225269742,דירה,דירה בבית קומות,2.0,אגרובנק,2011-09-13T00:00:00.000Z,7167,45,20,52284008,2.0,34.776869,32.025349,179064.18,659209.23,0.421,921.9,7.0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,1,0,0,1,2,0,0,0,3,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,2,3,2,11,7,8,0,1,7,4,10,1,13,49.0
2092090,6600,חולון,Holon,66000706.0,שנקר,Shenkar,3.0,שניה,64,460000,3225028346,דירה,דירה בבית קומות,3.0,אגרובנק,2011-08-29T00:00:00.000Z,7167,227,18,52232664,2.0,34.77739,32.027714,179114.43,659471.29,0.421,921.9,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,1,3,1,2,2,8,0,1,7,3,6,1,12,33.6
2092433,6600,חולון,HOLON,66000706.0,שנקר,Shenkar,19.0,ראשונה,52,966000,3224089297,דירה,דירה בבית קומות,3.0,אגרובנק,2011-07-21T00:00:00.000Z,7167,32,12,52362679,2.0,34.777017,32.025955,179078.42,659276.37,0.421,921.9,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,0,0,0,0,2,0,0,0,3,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,1,3,1,10,6,8,0,1,7,4,9,1,13,46.1
2101984,6600,חולון,Holon,66000706.0,שנקר,Shenkar,60.0,רביעית,66,1235000,3224126620,דירה,דירה בבית קומות,4.0,קרית עבודה,2011-07-15T00:00:00.000Z,7174,48,11,52529283,2.0,34.775622,32.019677,178943.88,658580.73,0.421,921.9,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,1,0,0,2,2,0,0,0,5,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,1,6,0,0,0,3,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,3,0,2,9,10,6,1,1,4,4,10,2,14,43.4
2090965,6600,חולון,Holon,66000706.0,שנקר,Shenkar,38.0,שמינית,80,1495000,3223142360,דירה,דירה בבית קומות,3.5,אגרובנק,2011-06-01T00:00:00.000Z,7166,229,32,52233412,2.0,34.7761,32.023972,178990.92,659056.82,0.421,921.9,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,1,0,0,1,2,0,0,0,3,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,3,1,2,11,7,8,1,1,8,4,10,1,11,46.7
2092110,6600,חולון,Holon,66000706.0,שנקר,Shenkar,5.0,קרקע,41,520000,3223451732,דירה,דירה בבית קומות,2.0,אגרובנק,2011-05-19T00:00:00.000Z,7167,227,56,52233313,2.0,34.777423,32.027434,179117.43,659440.23,0.421,921.9,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,1,3,1,2,2,8,0,1,7,3,7,1,12,34.5
2092099,6600,חולון,Holon,66000706.0,שנקר,Shenkar,5.0,שניה,64,830000,3222817241,דירה,דירה בבית קומות,3.0,אגרובנק,2011-05-02T00:00:00.000Z,7167,227,35,52233313,2.0,34.777423,32.027434,179117.43,659440.23,0.421,921.9,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,1,3,1,2,2,8,0,1,7,3,7,1,12,34.5
2091283,6600,חולון,HOLON,66000706.0,שנקר,Shenkar,24.0,מקלט,40,815000,3221220936,דירה,דירה בבית קומות,2.0,אגרובנק,2011-03-17T00:00:00.000Z,7166,4,11,53309417,2.0,34.77639,32.025725,179019.09,659251.1,0.421,921.9,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,1,0,0,1,2,0,0,0,3,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,3,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,1,0,0,0,0,3,3,1,11,7,8,0,1,7,4,11,1,15,50.0
2100047,6600,חולון,Holon,66000706.0,שנקר,Shenkar,73.0,שלישית,79,840000,3221448470,דירה,דירה בבית קומות,4.0,קרית עבודה,2011-03-15T00:00:00.000Z,7173,132,5,52504477,2.0,34.776081,32.018978,178986.93,658503.04,0.421,921.9,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,1,0,0,2,2,0,0,0,5,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,6,0,1,0,3,0,0,1,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,3,1,2,9,10,4,1,1,3,5,10,2,12,44.6
2097438,6600,חולון,Holon,66000706.0,שנקר,Shenkar,53.0,ראשונה,55,280000,3222281959,דירה,דירה בבית קומות,2.0,קרית עבודה,2011-03-15T00:00:00.000Z,7170,26,16,53137375,2.0,34.776421,32.021551,179020.19,658788.24,0.421,921.9,7.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,1,0,0,2,2,0,0,0,5,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,5,0,2,10,10,8,1,1,5,3,11,1,13,42.4
2097446,6600,חולון,Holon,66000706.0,שנקר,Shenkar,53.0,שלישית,55,785000,3221169055,דירה,דירה בבית קומות,3.0,קרית עבודה,2011-03-10T00:00:00.000Z,7170,26,25,53137375,2.0,34.776421,32.021551,179020.19,658788.24,0.421,921.9,7.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,1,0,0,2,2,0,0,0,5,1,0,1,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,5,0,2,10,10,8,1,1,5,3,11,1,13,42.4
